OBJ File,OBJ ID,English Name,Japanese Name,FMA ID,Category,Region,Headache Importance,Headache Type,Recommended Blender Collection,Description,BBox(mm),Buildup,Mirror,Vertices,Faces
FJ2966.obj,FJ2966,Pulmonary trunk,,FMA8612,Other,Other,,None,Others,,30.8×42.3×37.1,is_a,,,
FJ2967.obj,FJ2967,Apical part of right apical segmental artery,,FMA68662,Vessel,Other,,None,Others,,22.6×17.7×56.4,part_of,,,
FJ2967.obj,FJ2967,Apical part of right apical segmental artery,,FMA68662,Vessel,Other,,None,Others,,22.6×17.7×56.4,is_a,,,
FJ2968.obj,FJ2968,Apical part of right posterior segmental artery,,FMA68670,Vessel,Other,,None,Others,,8.1×5.8×14.1,part_of,,,
FJ2968.obj,FJ2968,Apical part of right posterior segmental artery,,FMA68670,Vessel,Other,,None,Others,,8.1×5.8×14.1,is_a,,,
FJ2969.obj,FJ2969,Apical part of right posterior segmental artery,,FMA68670,Vessel,Other,,None,Others,,3.4×9.2×7.4,part_of,,,
FJ2969.obj,FJ2969,Apical part of right posterior segmental artery,,FMA68670,Vessel,Other,,None,Others,,3.4×9.2×7.4,is_a,,,
FJ2970.obj,FJ2970,Posterior part of right posterior segmental artery,,FMA68673,Vessel,Other,,None,Others,,57.4×46.7×24.7,part_of,,,
FJ2970.obj,FJ2970,Posterior part of right posterior segmental artery,,FMA68673,Vessel,Other,,None,Others,,57.4×46.7×24.7,is_a,,,
FJ2971.obj,FJ2971,Posterior part of right posterior segmental artery,,FMA68673,Vessel,Other,,None,Others,,20.1×18×2.9,part_of,,,
